user_id,signup_date,group,activated,weekly_usage,retained_4w,paid,revenue,,,,,,
59,00:08.6,treatment,1,9,0,0,0,,,,,,
60,00:08.6,control,1,11,0,0,0,,,,,,
61,00:08.6,treatment,1,6,0,1,6.116169828,,,,,,
62,00:08.6,treatment,1,6,1,1,11.72714019,,,,,,
63,00:08.6,control,0,3,1,0,0,,,,,,
64,00:08.6,control,0,1,1,0,0,,,,,,
65,00:08.6,control,0,0,1,0,0,,,,,,
66,00:08.6,control,0,2,0,0,0,,,,,,
67,00:08.6,control,1,7,0,0,0,,,,,,
68,00:08.6,control,0,0,1,0,0,,,,,,
69,00:08.6,treatment,1,6,1,0,0,,,,,,
70,00:08.6,treatment,0,4,1,0,0,,,,,,
71,00:08.6,control,1,7,0,0,0,,,,,,
72,00:08.6,control,0,2,0,0,0,,,,,,
73,00:08.6,treatment,0,1,0,0,0,,,,,,
74,00:08.6,treatment,0,1,0,0,0,,,,,,
75,00:08.6,treatment,1,6,0,0,0,,,,,,
76,00:08.6,control,0,1,0,0,0,,,,,,
77,00:08.6,control,1,4,0,0,0,,,,,,
78,00:08.6,treatment,0,1,1,0,0,,,,,,
79,00:08.6,control,1,9,1,0,0,,,,,,
80,00:08.6,control,0,3,0,0,0,,,,,,
81,00:08.6,control,0,0,0,0,0,,,,,,
82,00:08.6,treatment,0,2,1,0,0,,,,,,
83,00:08.6,treatment,1,5,0,0,0,,,,,,
84,00:08.6,control,0,1,0,0,0,,,,,,
85,00:08.6,control,1,7,0,0,0,,,,,,
86,00:08.6,control,0,2,1,1,10.11419162,,,,,,
87,00:08.6,control,1,7,1,1,11.04774308,,,,,,
88,00:08.6,control,1,3,1,1,9.268680987,,,,,,
89,00:08.6,treatment,1,7,0,0,0,,,,,,
90,00:08.6,control,1,5,0,1,11.93657132,,,,,,
91,00:08.6,control,0,1,1,1,10.72567835,,,,,,
92,00:08.6,control,1,3,1,1,9.844572125,,,,,,
93,00:08.6,treatment,1,7,1,0,0,,,,,,
94,00:08.6,treatment,1,4,1,1,10.8675361,,,,,,
95,00:08.6,control,1,3,1,0,0,,,,,,
96,00:08.6,treatment,1,3,0,0,0,,,,,,
97,00:08.6,treatment,0,2,0,0,0,,,,,,
98,00:08.6,treatment,1,9,0,0,0,,,,,,
99,00:08.6,treatment,1,10,1,1,9.166767508,,,,,,
100,00:08.6,treatment,1,7,0,1,13.61424862,,,,,,
101,00:08.6,treatment,1,7,0,0,0,,,,,,
102,00:08.6,control,0,2,0,0,0,,,,,,
103,00:08.6,treatment,0,2,1,0,0,,,,,,
104,00:08.6,treatment,0,1,0,0,0,,,,,,
105,00:08.6,control,1,3,1,1,9.570132611,,,,,,
106,00:08.6,control,1,7,1,0,0,,,,,,
107,00:08.6,control,0,2,0,0,0,,,,,,
108,00:08.6,control,1,4,0,1,11.17237443,,,,,,
109,00:08.6,treatment,1,4,0,0,0,,,,,,
110,00:08.6,treatment,0,3,1,0,0,,,,,,
111,00:08.6,treatment,1,5,0,0,0,,,,,,
112,00:08.6,treatment,0,0,1,0,0,,,,,,
113,00:08.6,control,1,11,0,0,0,,,,,,
114,00:08.6,treatment,0,1,1,0,0,,,,,,
115,00:08.6,treatment,0,1,1,0,0,,,,,,
116,00:08.6,control,1,6,1,1,12.09191349,,,,,,
117,00:08.6,treatment,0,1,0,0,0,,,,,,
118,00:08.6,treatment,1,1,1,0,0,,,,,,
119,00:08.6,treatment,1,3,0,0,0,,,,,,
120,00:08.6,treatment,1,5,0,1,9.903946868,,,,,,
121,00:08.6,control,0,2,0,0,0,,,,,,
122,00:08.6,control,1,3,1,0,0,,,,,,
123,00:08.6,control,1,4,0,0,0,,,,,,
124,00:08.6,control,1,2,0,1,8.908372838,,,,,,
125,00:08.6,control,1,5,0,0,0,,,,,,
126,00:08.6,treatment,0,0,0,0,0,,,,,,
127,00:08.6,treatment,1,5,0,0,0,,,,,,
128,00:08.6,control,0,1,0,0,0,,,,,,
129,00:08.6,control,0,0,0,0,0,,,,,,
130,00:08.6,control,0,1,0,0,0,,,,,,
131,00:08.6,treatment,0,0,0,0,0,,,,,,
132,00:08.6,control,1,10,0,0,0,,,,,,
133,00:08.6,treatment,0,3,1,0,0,,,,,,
134,00:08.6,treatment,0,2,0,0,0,,,,,,
135,00:08.6,treatment,0,0,0,0,0,,,,,,
136,00:08.6,treatment,1,3,0,0,0,,,,,,
137,00:08.6,control,1,5,0,0,0,,,,,,
138,00:08.6,treatment,1,4,0,1,11.52960517,,,,,,
139,00:08.6,treatment,1,7,0,1,11.34350714,,,,,,
140,00:08.6,control,0,1,0,0,0,,,,,,
141,00:08.6,treatment,1,4,0,0,0,,,,,,
142,00:08.6,treatment,1,3,0,0,0,,,,,,
143,00:08.6,treatment,1,6,1,1,11.98953125,,,,,,
144,00:08.6,control,1,10,1,0,0,,,,,,
145,00:08.6,treatment,0,2,1,0,0,,,,,,
146,00:08.6,treatment,1,5,0,0,0,,,,,,
147,00:08.6,control,0,2,0,0,0,,,,,,
148,00:08.6,control,1,5,0,0,0,,,,,,
149,00:08.6,treatment,1,2,0,0,0,,,,,,
150,00:08.6,treatment,0,0,0,0,0,,,,,,
151,00:08.6,control,1,4,1,1,11.9934825,,,,,,
152,00:08.6,treatment,1,6,1,0,0,,,,,,
153,00:08.6,control,0,3,0,0,0,,,,,,
154,00:08.6,treatment,1,4,0,0,0,,,,,,
155,00:08.6,control,0,2,0,0,0,,,,,,
156,00:08.6,treatment,1,4,0,0,0,,,,,,
157,00:08.6,control,1,5,0,0,0,,,,,,
158,00:08.6,control,0,1,1,0,0,,,,,,
159,00:08.6,control,1,9,0,1,8.898551406,,,,,,
160,00:08.6,control,1,3,0,0,0,,,,,,
161,00:08.6,control,0,0,0,0,0,,,,,,
162,00:08.6,treatment,1,6,0,0,0,,,,,,
163,00:08.6,treatment,1,2,0,0,0,,,,,,
164,00:08.6,control,0,1,0,1,9.530421344,,,,,,
165,00:08.6,treatment,0,3,0,0,0,,,,,,
166,00:08.6,treatment,1,5,0,1,7.192924949,,,,,,
167,00:08.6,treatment,0,0,0,1,8.412213893,,,,,,
168,00:08.6,treatment,1,4,0,0,0,,,,,,
169,00:08.6,treatment,1,3,0,0,0,,,,,,
170,00:08.6,treatment,1,5,0,1,9.062450676,,,,,,
171,00:08.6,control,1,4,0,1,13.28932354,,,,,,
172,00:08.6,treatment,1,3,1,0,0,,,,,,
173,00:08.6,treatment,1,5,0,0,0,,,,,,
174,00:08.6,treatment,0,2,0,0,0,,,,,,
175,00:08.6,control,0,0,0,0,0,,,,,,
176,00:08.6,treatment,1,3,0,0,0,,,,,,
177,00:08.6,treatment,0,0,1,0,0,,,,,,
178,00:08.6,treatment,1,7,1,0,0,,,,,,
179,00:08.6,control,1,5,0,0,0,,,,,,
180,00:08.6,treatment,1,2,1,0,0,,,,,,
181,00:08.6,control,1,5,1,0,0,,,,,,
182,00:08.6,treatment,0,1,1,0,0,,,,,,
183,00:08.6,control,1,8,0,0,0,,,,,,
184,00:08.6,control,1,2,1,0,0,,,,,,
185,00:08.6,control,1,3,0,0,0,,,,,,
186,00:08.6,treatment,1,6,1,1,12.80933743,,,,,,
187,00:08.6,control,0,2,1,0,0,,,,,,
188,00:08.6,control,1,6,0,0,0,,,,,,
189,00:08.6,control,1,10,1,1,10.44313879,,,,,,
190,00:08.6,control,0,1,1,0,0,,,,,,
191,00:08.6,treatment,0,0,0,0,0,,,,,,
192,00:08.6,treatment,1,5,0,0,0,,,,,,
193,00:08.6,treatment,0,1,1,1,8.067432641,,,,,,
194,00:08.6,treatment,0,1,0,0,0,,,,,,
195,00:08.6,control,1,5,1,0,0,,,,,,
196,00:08.6,treatment,1,5,0,0,0,,,,,,
197,00:08.6,control,1,9,0,0,0,,,,,,
198,00:08.6,treatment,1,6,0,1,9.02942281,,,,,,
199,00:08.6,treatment,1,4,1,0,0,,,,,,
200,00:08.6,treatment,1,3,0,1,11.79705968,,,,,,
201,00:08.6,control,1,4,0,0,0,,,,,,
202,00:08.6,treatment,1,2,1,0,0,,,,,,
203,00:08.6,treatment,1,5,0,0,0,,,,,,
204,00:08.6,treatment,0,1,1,0,0,,,,,,
205,00:08.6,control,1,2,0,0,0,,,,,,
206,00:08.6,treatment,0,1,1,1,11.88535833,,,,,,
207,00:08.6,treatment,0,1,0,0,0,,,,,,
208,00:08.6,control,0,1,0,0,0,,,,,,
209,00:08.6,control,1,6,1,0,0,,,,,,
210,00:08.6,treatment,0,1,0,0,0,,,,,,
211,00:08.6,treatment,1,4,0,0,0,,,,,,
212,00:08.6,treatment,1,9,0,0,0,,,,,,
213,00:08.6,control,0,1,0,0,0,,,,,,
214,00:08.6,control,0,1,0,0,0,,,,,,
215,00:08.6,control,1,4,1,0,0,,,,,,
216,00:08.6,treatment,0,0,0,1,10.45648815,,,,,,
217,00:08.6,control,1,3,1,1,5.908465974,,,,,,
218,00:08.6,treatment,1,4,0,0,0,,,,,,
219,00:08.6,control,0,0,1,0,0,,,,,,
220,00:08.6,control,1,7,0,0,0,,,,,,
221,00:08.6,control,0,0,0,0,0,,,,,,
222,00:08.6,treatment,0,0,0,0,0,,,,,,
223,00:08.6,treatment,1,7,1,0,0,,,,,,
224,00:08.6,treatment,0,3,0,0,0,,,,,,
225,00:08.6,treatment,1,9,1,1,11.69986315,,,,,,
226,00:08.6,control,0,1,1,0,0,,,,,,
227,00:08.6,treatment,1,5,0,0,0,,,,,,
228,00:08.6,control,1,8,1,1,8.877764121,,,,,,
229,00:08.6,treatment,0,0,0,0,0,,,,,,
230,00:08.6,treatment,1,2,0,0,0,,,,,,
231,00:08.6,control,1,5,0,0,0,,,,,,
232,00:08.6,control,1,3,1,0,0,,,,,,
233,00:08.6,treatment,0,2,0,0,0,,,,,,
234,00:08.6,treatment,0,1,0,0,0,,,,,,
235,00:08.6,control,0,2,1,0,0,,,,,,
236,00:08.6,control,0,1,1,0,0,,,,,,
237,00:08.6,control,1,4,0,0,0,,,,,,
238,00:08.6,control,1,11,0,0,0,,,,,,
239,00:08.6,control,1,4,0,0,0,,,,,,
240,00:08.6,treatment,0,1,0,0,0,,,,,,
241,00:08.6,treatment,1,1,0,0,0,,,,,,
242,00:08.6,treatment,0,2,0,0,0,,,,,,
243,00:08.6,treatment,1,2,0,1,14.40308117,,,,,,
244,00:08.6,control,1,6,0,1,8.432362595,,,,,,
245,00:08.6,control,0,1,1,0,0,,,,,,
246,00:08.6,control,1,5,1,1,12.52680653,,,,,,
247,00:08.6,treatment,1,8,0,0,0,,,,,,
248,00:08.6,control,0,0,0,0,0,,,,,,
249,00:08.6,control,0,1,0,0,0,,,,,,
250,00:08.6,treatment,0,1,1,0,0,,,,,,
251,00:08.6,treatment,0,1,1,0,0,,,,,,
252,00:08.6,treatment,1,3,0,0,0,,,,,,
253,00:08.6,control,1,4,0,0,0,,,,,,
254,00:08.6,control,1,8,0,1,10.27637723,,,,,,
255,00:08.6,treatment,1,6,1,0,0,,,,,,
256,00:08.6,treatment,1,5,0,0,0,,,,,,
257,00:08.6,control,1,2,1,0,0,,,,,,
258,00:08.6,treatment,0,0,0,0,0,,,,,,
259,00:08.6,control,1,5,0,0,0,,,,,,
260,00:08.6,treatment,0,2,0,0,0,,,,,,
261,00:08.6,treatment,1,3,1,0,0,,,,,,
262,00:08.6,treatment,1,5,0,0,0,,,,,,
263,00:08.6,control,0,0,1,0,0,,,,,,
264,00:08.6,control,0,2,0,0,0,,,,,,
265,00:08.6,treatment,0,1,1,0,0,,,,,,
266,00:08.6,control,1,6,0,0,0,,,,,,
267,00:08.6,treatment,1,13,0,0,0,,,,,,
268,00:08.6,treatment,1,3,1,0,0,,,,,,
269,00:08.6,control,1,7,0,0,0,,,,,,
270,00:08.6,control,1,5,0,0,0,,,,,,
271,00:08.6,control,1,6,1,0,0,,,,,,
272,00:08.6,control,1,11,0,1,10.88319723,,,,,,
273,00:08.6,treatment,1,7,0,0,0,,,,,,
274,00:08.6,control,1,4,1,0,0,,,,,,
275,00:08.6,control,0,1,1,0,0,,,,,,
276,00:08.6,treatment,1,6,0,0,0,,,,,,
277,00:08.6,treatment,1,4,1,0,0,,,,,,
278,00:08.6,treatment,1,4,1,0,0,,,,,,
279,00:08.6,treatment,0,1,0,0,0,,,,,,
280,00:08.6,control,1,8,0,1,9.390674047,,,,,,
281,00:08.6,control,0,2,0,0,0,,,,,,
282,00:08.6,treatment,1,8,0,1,7.489328375,,,,,,
283,00:08.6,treatment,1,6,1,1,9.344005079,,,,,,
284,00:08.6,control,0,0,0,0,0,,,,,,
285,00:08.6,control,1,3,1,0,0,,,,,,
286,00:08.6,control,1,3,1,0,0,,,,,,
287,00:08.6,control,1,7,1,0,0,,,,,,
288,00:08.6,control,1,6,0,0,0,,,,,,
289,00:08.6,treatment,0,1,1,0,0,,,,,,
290,00:08.6,treatment,1,4,1,0,0,,,,,,
291,00:08.6,treatment,1,3,0,0,0,,,,,,
292,00:08.6,treatment,1,7,0,0,0,,,,,,
293,00:08.6,control,1,7,0,0,0,,,,,,
294,00:08.6,treatment,0,0,0,0,0,,,,,,
295,00:08.6,control,0,2,0,0,0,,,,,,
296,00:08.6,control,0,1,1,0,0,,,,,,
297,00:08.6,control,0,0,1,0,0,,,,,,
298,00:08.6,control,1,7,0,0,0,,,,,,
299,00:08.6,control,0,0,0,0,0,,,,,,
300,00:08.6,control,1,4,1,0,0,,,,,,
301,00:08.6,control,1,3,0,0,0,,,,,,
302,00:08.6,treatment,1,3,0,0,0,,,,,,
303,00:08.6,control,1,3,1,0,0,,,,,,
304,00:08.6,treatment,0,3,0,0,0,,,,,,
305,00:08.6,treatment,1,5,0,0,0,,,,,,
306,00:08.6,control,1,5,0,0,0,,,,,,
307,00:08.6,control,0,2,0,0,0,,,,,,
308,00:08.6,treatment,1,8,1,0,0,,,,,,
309,00:08.6,treatment,0,2,0,0,0,,,,,,
310,00:08.6,treatment,0,1,0,0,0,,,,,,
311,00:08.6,treatment,0,2,0,0,0,,,,,,
312,00:08.6,control,1,4,0,0,0,,,,,,
313,00:08.6,control,1,7,1,0,0,,,,,,
314,00:08.6,control,1,9,0,0,0,,,,,,
315,00:08.6,treatment,0,0,1,0,0,,,,,,
316,00:08.6,control,1,3,0,0,0,,,,,,
317,00:08.6,treatment,1,5,0,0,0,,,,,,
318,00:08.6,control,1,6,0,0,0,,,,,,
319,00:08.6,treatment,1,7,1,1,12.10146038,,,,,,
320,00:08.6,control,1,6,0,0,0,,,,,,
321,00:08.6,control,0,2,0,0,0,,,,,,
322,00:08.6,treatment,0,2,0,0,0,,,,,,
323,00:08.6,treatment,1,7,0,0,0,,,,,,
324,00:08.6,treatment,1,4,1,0,0,,,,,,
325,00:08.6,treatment,0,2,0,0,0,,,,,,
326,00:08.6,treatment,1,9,0,0,0,,,,,,
327,00:08.6,control,1,6,0,0,0,,,,,,
328,00:08.6,treatment,1,5,1,1,10.54579984,,,,,,
329,00:08.6,control,0,2,0,0,0,,,,,,
330,00:08.6,control,0,1,0,0,0,,,,,,
331,00:08.6,control,1,0,0,0,0,,,,,,
332,00:08.6,control,0,0,0,0,0,,,,,,
333,00:08.6,control,1,3,0,1,10.55229596,,,,,,
334,00:08.6,treatment,1,4,1,0,0,,,,,,
335,00:08.6,treatment,1,4,0,0,0,,,,,,
336,00:08.6,control,0,0,0,0,0,,,,,,
337,00:08.6,control,0,0,1,0,0,,,,,,
338,00:08.6,treatment,0,0,0,0,0,,,,,,
339,00:08.6,treatment,0,1,0,0,0,,,,,,
340,00:08.6,control,1,5,0,0,0,,,,,,
341,00:08.6,treatment,1,7,1,0,0,,,,,,
342,00:08.6,treatment,1,9,0,0,0,,,,,,
343,00:08.6,treatment,1,8,0,0,0,,,,,,
344,00:08.6,control,1,10,0,0,0,,,,,,
345,00:08.6,treatment,1,6,1,0,0,,,,,,
346,00:08.6,control,1,14,0,0,0,,,,,,
347,00:08.6,control,0,1,0,0,0,,,,,,
348,00:08.6,control,0,1,0,0,0,,,,,,
349,00:08.6,control,0,1,0,0,0,,,,,,
350,00:08.6,control,0,1,1,0,0,,,,,,
351,00:08.6,treatment,0,1,0,0,0,,,,,,
352,00:08.6,control,0,0,1,0,0,,,,,,
353,00:08.6,control,1,9,0,0,0,,,,,,
354,00:08.6,control,0,1,1,0,0,,,,,,
355,00:08.6,treatment,0,2,0,0,0,,,,,,
356,00:08.6,treatment,1,1,0,1,11.24397545,,,,,,
357,00:08.6,treatment,0,2,0,0,0,,,,,,
358,00:08.6,treatment,0,1,0,0,0,,,,,,
359,00:08.6,treatment,0,1,1,0,0,,,,,,
360,00:08.6,treatment,1,4,0,0,0,,,,,,
361,00:08.6,treatment,0,0,1,1,13.16047244,,,,,,
362,00:08.6,control,0,1,0,0,0,,,,,,
363,00:08.6,control,0,2,0,0,0,,,,,,
364,00:08.6,treatment,1,4,0,0,0,,,,,,
365,00:08.6,control,0,0,0,0,0,,,,,,
366,00:08.6,control,1,8,0,0,0,,,,,,
367,00:08.6,treatment,1,3,1,0,0,,,,,,
368,00:08.6,control,1,2,1,0,0,,,,,,
369,00:08.6,control,1,4,1,1,10.39674791,,,,,,
370,00:08.6,treatment,1,5,0,1,11.33650426,,,,,,
371,00:08.6,control,1,5,0,0,0,,,,,,
372,00:08.6,treatment,1,6,0,0,0,,,,,,
373,00:08.6,treatment,0,2,1,0,0,,,,,,
374,00:08.6,control,0,1,1,0,0,,,,,,
375,00:08.6,control,1,4,0,0,0,,,,,,
376,00:08.6,control,1,10,1,0,0,,,,,,
377,00:08.6,treatment,0,1,1,1,12.31746001,,,,,,
378,00:08.6,treatment,1,5,0,0,0,,,,,,
379,00:08.6,treatment,1,2,0,0,0,,,,,,
380,00:08.6,control,0,0,0,0,0,,,,,,
381,00:08.6,control,0,0,1,0,0,,,,,,
382,00:08.6,treatment,1,3,0,1,9.776218684,,,,,,
383,00:08.6,control,1,2,1,1,12.08081245,,,,,,
384,00:08.6,control,0,2,0,0,0,,,,,,
385,00:08.6,treatment,1,6,0,1,9.215655023,,,,,,
386,00:08.6,treatment,0,0,0,0,0,,,,,,
387,00:08.6,control,1,7,1,0,0,,,,,,
388,00:08.6,treatment,1,1,0,1,12.92170528,,,,,,
389,00:08.6,control,0,1,1,1,9.445007709,,,,,,
390,00:08.6,treatment,1,4,0,0,0,,,,,,
391,00:08.6,treatment,1,3,1,0,0,,,,,,
392,00:08.6,treatment,0,1,0,0,0,,,,,,
393,00:08.6,control,0,2,1,0,0,,,,,,
394,00:08.6,control,1,7,0,0,0,,,,,,
395,00:08.6,treatment,0,3,0,1,12.34085684,,,,,,
396,00:08.6,treatment,0,1,1,0,0,,,,,,
397,00:08.6,treatment,1,5,0,0,0,,,,,,
398,00:08.6,control,0,0,0,0,0,,,,,,
399,00:08.6,treatment,0,1,1,0,0,,,,,,
400,00:08.6,treatment,1,7,0,0,0,,,,,,
401,00:08.6,treatment,1,5,1,0,0,,,,,,
402,00:08.6,treatment,1,6,0,0,0,,,,,,
403,00:08.6,control,0,3,1,0,0,,,,,,
404,00:08.6,control,1,5,1,0,0,,,,,,
405,00:08.6,treatment,1,6,1,1,12.12802324,,,,,,
406,00:08.6,control,1,10,0,0,0,,,,,,
407,00:08.6,control,0,0,0,0,0,,,,,,
408,00:08.6,control,1,2,1,0,0,,,,,,
409,00:08.6,treatment,0,1,1,0,0,,,,,,
410,00:08.6,control,1,5,0,0,0,,,,,,
411,00:08.6,control,0,0,0,0,0,,,,,,
412,00:08.6,control,0,3,0,0,0,,,,,,
413,00:08.6,treatment,1,7,1,0,0,,,,,,
414,00:08.6,treatment,0,2,0,0,0,,,,,,
415,00:08.6,control,1,7,0,0,0,,,,,,
416,00:08.6,control,1,6,1,1,8.888797984,,,,,,
417,00:08.6,treatment,1,3,0,0,0,,,,,,
418,00:08.6,treatment,0,1,0,0,0,,,,,,
419,00:08.6,control,0,2,0,0,0,,,,,,
420,00:08.6,control,1,7,0,0,0,,,,,,
421,00:08.6,treatment,1,6,1,1,8.352679095,,,,,,
422,00:08.6,treatment,0,1,0,0,0,,,,,,
423,00:08.6,control,0,1,0,0,0,,,,,,
424,00:08.6,treatment,1,2,1,0,0,,,,,,
425,00:08.6,control,1,6,0,0,0,,,,,,
426,00:08.6,control,0,2,0,0,0,,,,,,
427,00:08.6,control,1,6,0,0,0,,,,,,
428,00:08.6,treatment,0,0,1,0,0,,,,,,
429,00:08.6,control,1,6,1,1,9.686337115,,,,,,
430,00:08.6,control,0,1,0,0,0,,,,,,
431,00:08.6,treatment,1,5,0,1,10.79222869,,,,,,
432,00:08.6,treatment,0,1,1,0,0,,,,,,
433,00:08.6,control,0,3,0,0,0,,,,,,
434,00:08.6,control,1,4,1,0,0,,,,,,
435,00:08.6,treatment,1,4,0,0,0,,,,,,
436,00:08.6,treatment,1,2,0,0,0,,,,,,
437,00:08.6,treatment,1,6,1,1,8.823011891,,,,,,
438,00:08.6,control,0,1,1,0,0,,,,,,
439,00:08.6,control,0,1,0,0,0,,,,,,
440,00:08.6,control,1,3,1,0,0,,,,,,
441,00:08.6,treatment,0,1,0,0,0,,,,,,
442,00:08.6,control,0,1,1,0,0,,,,,,
443,00:08.6,treatment,0,0,0,0,0,,,,,,
444,00:08.6,control,1,6,0,0,0,,,,,,
445,00:08.6,treatment,0,1,1,0,0,,,,,,
446,00:08.6,control,1,5,1,1,7.982505398,,,,,,
447,00:08.6,control,1,4,0,0,0,,,,,,
448,00:08.6,treatment,1,9,0,0,0,,,,,,
449,00:08.6,treatment,1,9,0,0,0,,,,,,
450,00:08.6,control,0,0,0,0,0,,,,,,
451,00:08.6,treatment,0,1,0,0,0,,,,,,
452,00:08.6,treatment,1,7,1,0,0,,,,,,
453,00:08.6,control,1,2,0,1,13.23275619,,,,,,
454,00:08.6,treatment,1,3,0,1,10.41798884,,,,,,
455,00:08.6,control,1,4,1,1,13.12474279,,,,,,
456,00:08.6,control,0,2,0,0,0,,,,,,
457,00:08.6,treatment,1,8,0,0,0,,,,,,
458,00:08.6,treatment,1,4,1,0,0,,,,,,
459,00:08.6,control,0,2,0,0,0,,,,,,
460,00:08.6,control,0,2,1,0,0,,,,,,
461,00:08.6,control,1,3,0,0,0,,,,,,
462,00:08.6,control,0,0,0,0,0,,,,,,
463,00:08.6,control,0,0,0,0,0,,,,,,
464,00:08.6,control,1,9,1,0,0,,,,,,
465,00:08.6,treatment,1,6,1,0,0,,,,,,
466,00:08.6,treatment,0,1,0,0,0,,,,,,
467,00:08.6,treatment,0,2,1,0,0,,,,,,
468,00:08.6,control,0,1,1,1,8.923868309,,,,,,
469,00:08.6,treatment,1,4,1,1,11.59039679,,,,,,
470,00:08.6,control,0,0,1,0,0,,,,,,
471,00:08.6,control,1,5,0,0,0,,,,,,
472,00:08.6,treatment,0,1,0,0,0,,,,,,
473,00:08.6,control,1,8,0,0,0,,,,,,
474,00:08.6,control,1,2,0,0,0,,,,,,
475,00:08.6,control,0,2,1,0,0,,,,,,
476,00:08.6,control,1,4,1,0,0,,,,,,
477,00:08.6,control,1,5,0,0,0,,,,,,
478,00:08.6,control,1,5,0,0,0,,,,,,
479,00:08.6,treatment,0,2,0,0,0,,,,,,
480,00:08.6,control,1,7,1,0,0,,,,,,
481,00:08.6,control,0,1,1,0,0,,,,,,
482,00:08.6,control,0,0,0,0,0,,,,,,
483,00:08.6,control,0,0,0,0,0,,,,,,
484,00:08.6,treatment,1,0,0,0,0,,,,,,
485,00:08.6,treatment,0,2,0,0,0,,,,,,
486,00:08.6,control,0,1,1,0,0,,,,,,
487,00:08.6,control,1,2,0,0,0,,,,,,
488,00:08.6,control,1,5,0,1,8.209092858,,,,,,
489,00:08.6,treatment,1,8,0,0,0,,,,,,
490,00:08.6,treatment,0,0,0,0,0,,,,,,
491,00:08.6,treatment,0,1,1,0,0,,,,,,
492,00:08.6,treatment,1,7,0,0,0,,,,,,
493,00:08.6,control,0,1,1,1,12.26825547,,,,,,
494,00:08.6,treatment,1,6,1,0,0,,,,,,
495,00:08.6,treatment,1,5,0,0,0,,,,,,
496,00:08.6,control,0,1,1,0,0,,,,,,
497,00:08.6,control,1,4,1,0,0,,,,,,
498,00:08.6,treatment,0,1,0,0,0,,,,,,
499,00:08.6,treatment,0,1,0,0,0,,,,,,
500,00:08.6,treatment,0,2,0,0,0,,,,,,
501,00:08.6,treatment,0,3,0,1,9.707435162,,,,,,
502,00:08.6,control,0,2,0,0,0,,,,,,
503,00:08.6,control,1,7,1,0,0,,,,,,
